Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
15.475	5422	0.03
15.480	5816	0.03
15.486	6024	0.03
15.491	5827	0.03
15.497	5443	0.03
15.502	5589	0.03
15.508	6570	0.03
15.513	6057	0.03
15.519	5409	0.03
15.524	5592	0.03
15.530	5620	0.03
15.535	5848	0.03
15.541	5780	0.03
15.546	6009	0.03
15.552	6444	0.03
15.557	5529	0.03
15.563	5841	0.03
15.568	5555	0.03
15.574	5601	0.03
15.579	5707	0.03
15.585	5896	0.03
15.590	5450	0.03
15.596	5825	0.03
15.601	5386	0.03
15.607	6066	0.03
15.612	6039	0.03
15.618	5841	0.03
15.623	5727	0.03
15.629	6024	0.03
15.634	5813	0.03
15.640	5782	0.03
15.645	5731	0.03
15.651	5256	0.03
15.656	6107	0.03
15.662	5383	0.03
15.667	6275	0.03
15.673	5715	0.03
15.678	5253	0.03
15.684	6030	0.03
15.689	5386	0.03
15.695	6136	0.03
15.700	6147	0.03
15.706	5700	0.03
15.711	5963	0.03
15.717	5919	0.03
15.722	6363	0.03
15.728	5838	0.03
15.733	5720	0.03
15.739	5710	0.03
15.744	6220	0.03
15.750	6085	0.03
15.755	5403	0.03
15.761	5987	0.03
15.766	5845	0.03
15.772	5657	0.03
15.777	5715	0.03
15.783	6077	0.03
15.788	6068	0.03
15.794	5511	0.03
15.799	5877	0.03
15.805	5805	0.03
15.810	5907	0.03
15.816	5480	0.03
15.821	5712	0.03
15.827	5566	0.03
15.832	5861	0.03
15.838	5817	0.03
15.843	6216	0.03
15.849	5698	0.03
15.854	5924	0.03
15.860	5794	0.03
15.865	5995	0.03
15.871	5858	0.03
15.876	5976	0.03
15.882	5815	0.03
15.887	6030	0.03
15.893	5612	0.03
15.898	5747	0.03
15.904	5916	0.03
15.909	5969	0.03
15.915	5863	0.03
15.920	6272	0.03
15.926	5564	0.03
15.931	6017	0.03
15.937	5768	0.03
15.942	5510	0.03
15.948	6041	0.03
15.953	5951	0.03
15.959	5325	0.03
15.964	5516	0.03
15.970	5930	0.03
15.975	5609	0.03
15.981	5813	0.03
15.986	6129	0.03
15.992	5741	0.03
15.997	5534	0.03
