#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-25.8700000,3.2570000,-0.0638090,3.2820000
-25.8600000,3.2554000,0.1435700,3.2788000
-25.8500000,3.2586000,0.0478580,3.2804000
-25.8400000,3.2570000,0.1914300,3.2772000
-25.8300000,3.2602000,0.1435700,3.2756000
-25.8200000,3.2618000,0.3031000,3.2756000
-25.8100000,3.2650000,0.2871500,3.2740000
-25.8000000,3.2682000,0.2233400,3.2740000
-25.7900000,3.2714000,0.2073900,3.2740000
-25.7800000,3.2730000,-0.0638100,3.2725000
-25.7700000,3.2714000,0.0319050,3.2740000
-25.7600000,3.2714000,0.0319050,3.2725000
-25.7500000,3.2666000,0.0478580,3.2756000
-25.7400000,3.2730000,-0.0159530,3.2772000
-25.7300000,3.2746000,0.1116700,3.2725000
-25.7200000,3.2730000,-0.1435700,3.2740000
-25.7100000,3.2714000,-0.1116700,3.2725000
-25.7000000,3.2682000,-0.1116700,3.2725000
-25.6900000,3.2666000,0.0159530,3.2725000
-25.6800000,3.2698000,0.0319060,3.2756000
-25.6700000,3.2698000,0.1914300,3.2772000
-25.6600000,3.2730000,0.0000000,3.2788000
-25.6500000,3.2714000,0.0159520,3.2756000
-25.6400000,3.2730000,-0.0319040,3.2772000
-25.6300000,3.2698000,-0.0319060,3.2836000
-25.6200000,3.2698000,-0.0319060,3.2820000
-25.6100000,3.2714000,-0.0478580,3.2852000
-25.6000000,3.2698000,-0.0159540,3.2884000
-25.5900000,3.2714000,-0.0159530,3.2868000
-25.5800000,3.2682000,0.1595300,3.2884000
-25.5700000,3.2698000,0.0638120,3.2852000
-25.5600000,3.2730000,0.0638120,3.2884000
-25.5500000,3.2762000,0.0797650,3.2884000
-25.5400000,3.2746000,0.0478590,3.2932000
-25.5300000,3.2714000,0.0159530,3.2980000
-25.5200000,3.2730000,-0.0638110,3.2980000
-25.5100000,3.2746000,0.0797620,3.2980000
-25.5000000,3.2762000,-0.0478600,3.2980000
-25.4900000,3.2730000,-0.0957170,3.2980000
-25.4800000,3.2730000,-0.1435700,3.2980000
-25.4700000,3.2698000,-0.0159530,3.3012000
-25.4600000,3.2698000,0.0319040,3.3012000
-25.4500000,3.2714000,0.0638100,3.3012000
-25.4400000,3.2730000,-0.0319070,3.3044000
-25.4300000,3.2746000,0.0000000,3.3044000
-25.4200000,3.2714000,-0.0957150,3.3091000
-25.4100000,3.2682000,-0.1116700,3.3075000
-25.4000000,3.2698000,-0.0797630,3.3075000
-25.3900000,3.2682000,-0.0159520,3.3107000
-25.3800000,3.2698000,-0.0319050,3.3091000
-25.3700000,3.2682000,-0.1116700,3.3107000
-25.3600000,3.2666000,-0.1914300,3.3107000
-25.3500000,3.2666000,-0.1276200,3.3091000
-25.3400000,3.2618000,-0.0319050,3.3060000
-25.3300000,3.2618000,-0.1276200,3.3060000
-25.3200000,3.2634000,0.1595300,3.3075000
-25.3100000,3.2650000,0.1435700,3.3123000
-25.3000000,3.2650000,0.2392900,3.3107000
-25.2900000,3.2698000,0.0638120,3.3107000
-25.2800000,3.2698000,0.2392900,3.3091000
-25.2700000,3.2730000,0.0319070,3.3075000
-25.2600000,3.2698000,-0.0797610,3.3075000
-25.2500000,3.2730000,-0.1116700,3.3091000
-25.2400000,3.2698000,0.1276200,3.3091000
-25.2300000,3.2666000,0.0797640,3.3060000
-25.2200000,3.2714000,0.2073800,3.3060000
-25.2100000,3.2762000,0.3031000,3.3075000
-25.2000000,3.2794000,0.2392900,3.3060000
-25.1900000,3.2810000,-0.0000005,3.3028000
-25.1800000,3.2794000,-0.0319040,3.3060000
-25.1700000,3.2794000,0.0159550,3.3075000
-25.1600000,3.2762000,0.1914300,3.3060000
-25.1500000,3.2794000,0.0638110,3.3075000
-25.1400000,3.2842000,0.1914300,3.3060000
-25.1300000,3.2873000,0.1595300,3.3044000
-25.1200000,3.2842000,-0.0159530,3.3044000
-25.1100000,3.2842000,-0.1116700,3.3012000
-25.1000000,3.2842000,0.0159520,3.2996000
-25.0900000,3.2826000,0.0957160,3.2980000
-25.0800000,3.2842000,-0.0478580,3.2996000
-25.0700000,3.2858000,0.0957140,3.2996000
-25.0600000,3.2873000,0.1595300,3.2996000
-25.0500000,3.2842000,0.0159510,3.2964000
-25.0400000,3.2873000,-0.1276200,3.2916000
-25.0300000,3.2889000,-0.0638100,3.2916000
-25.0200000,3.2842000,-0.2392900,3.2900000
-25.0100000,3.2810000,-0.3350000,3.2868000
-25.0000000,3.2778000,-0.2392900,3.2884000
-24.9900000,3.2746000,-0.0957150,3.2868000
-24.9800000,3.2746000,-0.1276200,3.2868000
-24.9700000,3.2746000,0.0319040,3.2820000
-24.9600000,3.2762000,-0.1754800,3.2836000
-24.9500000,3.2730000,-0.0797650,3.2804000
-24.9400000,3.2730000,-0.2552400,3.2820000
-24.9300000,3.2666000,-0.1435700,3.2836000
-24.9200000,3.2682000,-0.2233400,3.2836000
-24.9100000,3.2650000,-0.0797630,3.2836000
-24.9000000,3.2650000,-0.2552400,3.2836000
-24.8900000,3.2634000,-0.1754800,3.2852000
-24.8800000,3.2602000,-0.1276200,3.2820000
-24.8700000,3.2570000,-0.2073800,3.2820000
-24.8600000,3.2570000,-0.0478570,3.2852000
-24.8500000,3.2586000,0.2233400,3.2868000
-24.8400000,3.2570000,0.1435700,3.2900000
-24.8300000,3.2618000,0.0478580,3.2900000
-24.8200000,3.2666000,0.2233400,3.2900000
-24.8100000,3.2634000,0.1595300,3.2932000
-24.8000000,3.2634000,0.0478560,3.2900000
-24.7900000,3.2666000,0.0797630,3.2916000
-24.7800000,3.2682000,0.2233400,3.2932000
-24.7700000,3.2698000,-0.1116700,3.2980000
-24.7600000,3.2682000,0.0478560,3.2996000
-24.7500000,3.2698000,-0.0159530,3.3012000
-24.7400000,3.2634000,0.0478560,3.3012000
-24.7300000,3.2698000,-0.0957170,3.2996000
-24.7200000,3.2698000,0.2233400,3.3028000
-24.7100000,3.2698000,0.0957150,3.3060000
-24.7000000,3.2698000,0.1914300,3.3107000
-24.6900000,3.2730000,0.1914300,3.3107000
-24.6800000,3.2762000,0.2552400,3.3155000
-24.6700000,3.2794000,0.1435700,3.3155000
-24.6600000,3.2794000,-0.0159540,3.3123000
-24.6500000,3.2794000,-0.3031000,3.3139000
-24.6400000,3.2762000,-0.1914300,3.3139000
-24.6300000,3.2714000,-0.1116700,3.3139000
